country,total_earnings,total_players,year,iso,code,pbicap,internet,desempleo,elect_acc,movil,poblacion,pea,net_mig,life_exp,CPI,gdp_gr,inflacion
Canada,28991.71,16,2003-01-01,CA,124,28300.4630963791,64.2,7.57,100.0,42.03425423,31644028.0,21812234.0,182430.0,79.7151219512195,,0.892853480384076,3.24973700697623
Denmark,25393.92,31,2003-01-01,DK,208,40458.7773986609,76.26,5.4,100.0,88.33925863,5390574.0,3578487.0,11337.0,77.1439024390244,,0.117358167353501,1.48182980917917
Italy,23892.18,4,2003-01-01,IT,380,27526.3224609957,29.04,8.87,100.0,98.85908053,57313203.0,38224559.0,478254.0,79.9829268292683,,-0.305508789463317,3.1478079285654
Finland,16002.51,18,2003-01-01,FI,246,32927.6802919408,69.22,10.47,100.0,91.0634187,5213014.0,3483581.0,6039.0,78.3682926829268,,1.7608385701202,0.189923706229408
Austria,15658.35,6,2003-01-01,AT,040,32294.0488606559,42.7,4.78,100.0,89.58013346,8121423.0,5532119.0,44003.0,78.6317073170732,,0.450946527234535,1.30755257860011
Brazil,14375.5,16,2003-01-01,BR,076,3056.64979769494,13.2075861,11.17,96.980098,25.39202175,182629278.0,120484166.0,-16908.0,70.72,,-0.0512856664974208,14.0910215230394
Kazakhstan,13380.0,15,2003-01-01,KZ,398,2068.12352309089,2.000414753,8.78,99.92,8.63173678,14909019.0,10000544.0,-3565.0,65.74,,8.93292284388505,11.7385246474223
Poland,10830.38,10,2003-01-01,PL,616,5701.63886301914,24.87,19.37,99.911994934082,45.055754,38204570.0,26665100.0,-22621.0,74.5975609756098,,3.56826865222615,0.776035714455617
Czech Republic,8414.53,18,2003-01-01,CZ,203,9818.56849307488,34.3,7.78,99.9970855712891,94.73699258,10193998.0,7218701.0,25694.0,75.1707317073171,,3.61333896520242,1.29272263147209
Ukraine,7494.05,44,2003-01-01,UA,804,1087.7880859375,3.148127588,9.06,99.3146820068359,13.65772731,47812949.0,33086982.0,11140.0,68.2107317073171,,10.4088132130876,8.16433975330762
Romania,5287.18,1,2003-01-01,RO,642,2679.40626016154,8.9,6.95,95.1095504760742,32.77218532,21574326.0,14851144.0,-97597.0,71.309756097561,,3.08196384315724,23.1532554708977
Japan,5057.21,14,2003-01-01,JP,392,35387.0374203599,48.43526589,5.25,100.0,67.96345216,127718000.0,84990460.0,119257.0,81.76,,1.31809196241525,-1.60770370751224
Australia,5030.0,2,2003-01-01,AU,036,23718.1338501868,,5.93,100.0,72.83111188,19720737.0,13247817.0,103907.0,80.2390243902439,,1.91173867643482,2.98561973643889
United Arab Emirates,5000.0,4,2003-01-01,AE,784,32607.3729348287,29.47795341,2.892,100.0,77.94350145,3813443.0,3016135.0,124550.0,76.222,,3.67104717040112,4.07240679607594
Argentina,4150.0,2,2003-01-01,AR,032,3333.15290388997,11.91369655,15.36,96.2979507446289,20.48748472,38278164.0,23956353.0,-22353.0,74.08,,7.71922963663721,10.4957030215496
Singapore,3024.92,7,2003-01-01,SG,702,23730.3840054566,53.83794329,5.93,100.0,84.63439691,4114826.0,3070554.0,19770.0,79.0390243902439,,6.10127554555405,-1.79904886938878
Belarus,2869.55,22,2003-01-01,BY,112,1819.52653114699,,10.149,90.5053024291992,11.10683042,9796749.0,6742926.0,-13488.0,68.5536585365854,,7.79491786508231,30.6853215603655
Belgium,1507.14,3,2003-01-01,BE,056,30655.2092679024,49.97,7.68,100.0,82.72811955,10376133.0,6805014.0,41479.0,78.1292682926829,,0.615879780344869,1.85008868250355
Iceland,1500.0,5,2003-01-01,IS,352,39476.6978486684,83.14,4.0,100.0,96.50415285,289521.0,189650.0,-223.0,80.9634146341464,,1.43779618991398,0.491863235904162
Lithuania,1400.0,1,2003-01-01,LT,440,5499.42898911387,25.91,12.87,99.3976440429688,60.58800896,3415213.0,2280393.0,-34848.0,72.0609756097561,,11.4677174839243,-0.813494503489466
Hong Kong,1195.36,1,2003-01-01,HK,0,23977.1734120477,52.20004335,7.86,100.0,106.7196538,6730800.0,4865989.0,18790.0,81.3434146341464,,3.25992999335219,-6.00770638291976
Israel,650.0,1,2003-01-01,IL,376,19627.1754936631,19.59339366,13.51,100.0,102.1997358,6689700.0,4160384.0,17619.0,79.6487804878049,,-0.420346476849517,-0.469126358625502
Greece,431.0,1,2003-01-01,GR,300,18518.3788387396,17.8,9.84,100.0,80.43033577,10928070.0,7410994.0,7095.0,78.8414634146341,,5.54236124450642,3.45357382787522
Hungary,368.22,1,2003-01-01,HU,348,8419.43087098103,21.63,5.79,99.9896011352539,78.51885074,10129552.0,6954489.0,14182.0,72.3,,4.37278036207435,5.43344610640528
